 n        a_n        b_n    x_(n+1)     f(a_n)    f(b_n)  f(x_(n+1))  delta=(b-a)/2^(n+1)
 n        a_n        b_n    x_(n+1)     f(a_n)    f(b_n)  f(x_(n+1))  sigma_x=|x_(n+1)-x_n|/|x_(n+1)
 0 -3.0000000 -2.0000000 -2.5000000 -0.9103832 0.7889789  -0.2015772                       1.0000000
 1 -2.5000000 -2.0000000 -2.2500000 -0.2015772 0.7889789   0.3161950                       0.1111111
 2 -2.5000000 -2.2500000 -2.3750000 -0.2015772 0.3161950   0.0554123                       0.0526316
 3 -2.5000000 -2.3750000 -2.4375000 -0.2015772 0.0554123  -0.0745163                       0.0256410
 4 -2.4375000 -2.3750000 -2.4062500 -0.0745163 0.0554123  -0.0097911                       0.0129870
 5 -2.4062500 -2.3750000 -2.3906250 -0.0097911 0.0554123   0.0227658                       0.0065359
 6 -2.4062500 -2.3906250 -2.3984375 -0.0097911 0.0227658   0.0064743                       0.0032573
 7 -2.4062500 -2.3984375 -2.4023438 -0.0097911 0.0064743  -0.0016619                       0.0016260
 8 -2.4023438 -2.3984375 -2.4003906 -0.0016619 0.0064743   0.0024053                       0.0008137
 9 -2.4023438 -2.4003906 -2.4013672 -0.0016619 0.0024053   0.0003715                       0.0004067
10 -2.4023438 -2.4013672 -2.4018555 -0.0016619 0.0003715  -0.0006453                       0.0002033
11 -2.4018555 -2.4013672 -2.4016113 -0.0006453 0.0003715  -0.0001369                       0.0001017
12 -2.4016113 -2.4013672 -2.4014893 -0.0001369 0.0003715   0.0001173                       0.0000508
13 -2.4016113 -2.4014893 -2.4015503 -0.0001369 0.0001173  -0.0000098                       0.0000254
14 -2.4015503 -2.4014893 -2.4015198 -0.0000098 0.0001173   0.0000537                       0.0000127
15 -2.4015503 -2.4015198 -2.4015350 -0.0000098 0.0000537   0.0000219                       0.0000064
16 -2.4015503 -2.4015350 -2.4015427 -0.0000098 0.0000219   0.0000061                       0.0000032
17 -2.4015503 -2.4015427 -2.4015465 -0.0000098 0.0000061  -0.0000019                       0.0000016
18 -2.4015465 -2.4015427 -2.4015446 -0.0000019 0.0000061   0.0000021                       0.0000008
19 -2.4015465 -2.4015446 -2.4015455 -0.0000019 0.0000021   0.0000001                       0.0000004
Giá trị nghiệm với sai số tương đối 5e-07 là: -2.401545524597168
sigma_x = 0.0005
 n      a_n        b_n    x_(n+1)       f(a_n)    f(b_n)  f(x_(n+1))  sigma_x=|x_(n+1)-x_n|/|x_(n+1)
 0 -3.00000 -2.0000000 -2.5000000 -136.0000000 7.0000000 -30.7812500                       1.0000000
 1 -2.50000 -2.0000000 -2.2500000  -30.7812500 7.0000000  -6.1181641                       0.1111111
 2 -2.25000 -2.0000000 -2.1250000   -6.1181641 7.0000000   1.6127625                       0.0588235
 3 -2.25000 -2.1250000 -2.1875000   -6.1181641 1.6127625  -1.9283628                       0.0285714
 4 -2.18750 -2.1250000 -2.1562500   -1.9283628 1.6127625  -0.0807911                       0.0144928
 5 -2.15625 -2.1250000 -2.1406250   -0.0807911 1.6127625   0.7847421                       0.0072993
 6 -2.15625 -2.1406250 -2.1484375   -0.0807911 0.7847421   0.3567260                       0.0036364
 7 -2.15625 -2.1484375 -2.1523438   -0.0807911 0.3567260   0.1391627                       0.0018149
 8 -2.15625 -2.1523438 -2.1542969   -0.0807911 0.1391627   0.0294856                       0.0009066
 9 -2.15625 -2.1542969 -2.1552734   -0.0807911 0.0294856  -0.0255777                       0.0004531
Giá trị nghiệm với sai số tương đối 0.0005 là: -2.1552734375
